Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"2230 Cecil Ashburn Dr SE, Huntsville, AL 35802-2585","Italian,American,Pizza","Pizza, Italian, American, Greek",,AL 35802-2585,"Lunch, Dinner",$$ - $$$,,Mellow Mushroom,"Vegetarian Friendly, Vegan Options, Gluten Free Options",FSR,Geography/Ethnic
"3001 Memorial Pkwy SW, Huntsville, AL 35801-5304","American,Vegetarian Friendly",American,,AL 35801-5304,"Breakfast, Lunch, Dinner, Brunch",$$ - $$$,,IHOP,Vegetarian Friendly,FSR,Geography/Ethnic
"11700 Memorial Pkwy SW Ste N, Huntsville, AL 35803-3353","Mexican,Vegetarian Friendly",Mexican,,AL 35803-3353,,$,$10 - $15,El Herradura,Vegetarian Friendly,LSR,Geography/Ethnic
"415 Church St NW Suite E 5, Huntsville, AL 35801-5573","American,Contemporary,Vegetarian Friendly","American, Contemporary",,AL 35801-5573,"Breakfast, Lunch, Brunch",$$ - $$$,,Cyn Shea's Cafe,"Vegetarian Friendly, Gluten Free Options",FSR,Geography/Ethnic
"815 Madison St SE, Huntsville, AL 35801-4410",,,,AL 35801-4410,"Lunch, Dinner",,,Tenders,,FSR,Food-Centric
"6036 Rock Point Rd, Mobile, AL 36605-9777","American,Seafood,Gluten Free Options","American, Seafood",,AL 36605-9777,,$$ - $$$,$10 - $25,The Mariner,Gluten Free Options,FSR,Geography/Ethnic
"2801 S Memorial Pkwy Ste E100, Huntsville, AL 35801","Italian,Vegetarian Friendly,Gluten Free Options",Italian,,AL 35801,"Lunch, Dinner",$$ - $$$,,Carrabba's Italian Grill,"Vegetarian Friendly, Gluten Free Options",FSR,Geography/Ethnic
"2900 Triana Blvd SW Ste L, Huntsville, AL 35805-6446",Chinese,Chinese,,AL 35805-6446,,$,,China Taste Restaurant,,LSR,Geography/Ethnic
"7230 Bailey Cove Road, Huntsville, AL 35802",,,,AL 35802,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"219 Conti St, Mobile, AL 36602-2711","American,Soups","American, Soups","Takeout, Seating, Serves Alcohol, Wheelchair Accessible, Table Service",AL 36602-2711,"Lunch, Breakfast, Dinner",$$ - $$$,,219 Restaurant,,FSR,Geography/Ethnic
"101 N Conception St, Mobile, AL 36602-2904","American,Barbecue","American, Barbecue","Takeout, Seating, Table Service, Wheelchair Accessible",AL 36602-2904,Lunch,$,,Cotton State BBQ,,Bar/Club,Geography/Ethnic
"6255 Airport Blvd, Mobile, AL 36608-3133","American,Bar,Pub","American, Bar, Pub","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Table Service",AL 36608-3133,"Lunch, Dinner",$$ - $$$,,Mugshots Grill & Bar,,Bar/Club,Geography/Ethnic
"5821 Old Shell Rd, Mobile, AL 36608-3426","Japanese,Sushi,Asian","Japanese, Sushi, Asian","Takeout, Seating, Wheelchair Accessible",AL 36608-3426,"Dinner, Lunch",$$ - $$$,,Chef Sake,,FSR,Geography/Ethnic
"66 S Royal St, Mobile, AL 36602-3204","Bar,Pub","Pub, Bar","Seating, Television, Serves Alcohol, Table Service, Live Music",AL 36602-3204,Dinner,$,,Veet's,,Bar/Club,Beverage-Centric
"3748 Airport Blvd, Mobile, AL 36608-1618","American,Bar,Vegetarian Friendly","American, Bar",,AL 36608-1618,"Lunch, Dinner",$$ - $$$,,BJ's Restaurant Brewhouse,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Bar/Club,Geography/Ethnic
"3649 Airport Blvd, Mobile, AL 36608","American,Bar","American, Bar","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Television, Table Service",AL 36608,"Lunch, Dinner",$$ - $$$,,O'Charley's,,Bar/Club,Geography/Ethnic
"5205 Higgins Rd, Mobile, AL 36619","American,Vegetarian Friendly",American,,AL 36619,"Dinner, Lunch",$$ - $$$,,Ruby Tuesday,Vegetarian Friendly,FSR,Geography/Ethnic
"4689 Airport Blvd, Mobile, AL 36608-3125","American,Seafood,Fast Food","American, Seafood, Fast Food",,AL 36608-3125,"Lunch, Dinner",$,$5 - $10,Al's Hotdogs & Other Fine Foods,,LSR,Geography/Ethnic
"4017 Airport Blvd, Mobile, AL 36608","American,Steakhouse","American, Steakhouse","Takeout, Reservations, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",AL 36608,"Lunch, Dinner",$$ - $$$,,Outback Steakhouse,,FSR,Geography/Ethnic
"3414 Governors Dr SW, Huntsville, AL 35805-3671",Mediterranean,Mediterranean,Gift Cards Available,AL 35805-3671,,$,,Fresko Grille,,LSR,Geography/Ethnic
"462 Azalea Rd, Mobile, AL 36609-1653",Caribbean,Caribbean,"Seating, Table Service",AL 36609-1653,"Lunch, Dinner",$$ - $$$,,Jamaican Cafe,,FSR,Geography/Ethnic
"3228 Bob Wallace Ave SW Ste D, Huntsville, AL 35805-6902",Mexican,Mexican,,AL 35805-6902,"Lunch, Dinner",,,Mexican Express,,FSR,Geography/Ethnic
"1222 Grace St NW, Huntsville, AL 35801-5725",American,American,"Takeout, Wheelchair Accessible, Seating",AL 35801-5725,Lunch,$,,Betty Mae's Restaurant,,LSR,Geography/Ethnic
"2740 Carl T Jones Dr SE, Huntsville, AL 35802-4909","American,Southwestern,Bar","American, Bar, Southwestern, Pub","Takeout, Seating, Television, Wheelchair Accessible, Serves Alcohol, Highchairs Available, Table Service",AL 35802-4909,"Lunch, Dinner",$$ - $$$,,Chili's Grill & Bar,,Bar/Club,Geography/Ethnic
"2732 Carl T Jones Dr SE, Huntsville, AL 35802-4909","American,Steakhouse,Gluten Free Options","Takeout, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Full Bar, Serves Alcohol, Table Service","American, Steakhouse",AL 35802-4909,"Lunch, Dinner",$$ - $$$,$10 - $15,LongHorn Steakhouse,Gluten Free Options,FSR,Geography/Ethnic
"4249 Balmoral Dr SW, Huntsville, AL 35801-6441","American,Steakhouse,Bar","American, Steakhouse, Bar","Takeout, Seating, Parking Available, Television, Wheelchair Accessible, Serves Alcohol, Table Service, Highchairs Available",AL 35801-6441,"Dinner, Lunch",$$ - $$$,,Logan's Roadhouse,,Bar/Club,Geography/Ethnic
"2534A Old Shell Rd, Mobile, AL 36607-3033","Quick Bites,Mexican",Mexican,Seating,AL 36607-3033,Lunch,$$ - $$$,,Taco Mama,,LSR,Food-Centric
"915 Hillcrest Rd, Mobile, AL 36695-4048","Asian,Thai","Thai, Asian","Seating, Table Service, Reservations",AL 36695-4048,"Dinner, Lunch",,,Siam Thai Cuisine,,FSR,Geography/Ethnic
"1175 Battleship Pkwy, Mobile, AL 36527-9319","Mexican,Southwestern","Outdoor Seating, Seating, Parking Available, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Takeout","Mexican, Southwestern",AL 36527-9319,"Lunch, Dinner",$$ - $$$,,Cafe Del Rio,,FSR,Geography/Ethnic
"7038 Airport Blvd, Mobile, AL 36608-3713","Japanese,Sushi,Asian","Japanese, Sushi, Asian",,AL 36608-3713,"Lunch, Dinner",$$ - $$$,,Shogun Japanese Steakhouse,Vegetarian Friendly,FSR,Geography/Ethnic
"2105 N. Whitesburg Drive, Huntsville, AL 35801","American,Steakhouse","American, Steakhouse",,AL 35801,,$$ - $$$,$10 - $20,Steak-Out,,FSR,Geography/Ethnic
"1335 Satchel Paige Dr Ste C100, Mobile, AL 36606-2539","Chinese,Sushi,Asian","Takeout, Seating, Wheelchair Accessible","Chinese, Sushi, Asian",AL 36606-2539,"Lunch, Dinner",$$ - $$$,,Panda Palace,Vegetarian Friendly,FSR,Geography/Ethnic
"451 Dauphin St, Mobile, AL 36602-2403",Cafe,Cafe,,AL 36602-2403,"Breakfast, Lunch, Dinner",,,Mo’Bay Beignet Co.,,LSR,Beverage-Centric
"Huntsville, AL 35803-4415","Mexican,American,Southwestern","Mexican, American, Southwestern, Barbecue",,AL 35803-4415,,$$ - $$$,$8 - $16,Fire & Spice,Vegetarian Friendly,FSR,Geography/Ethnic
"2413 Dawes Rd, Mobile, AL 36695-8764","Japanese,Sushi","Sushi, Japanese",,AL 36695-8764,"Lunch, Dinner",,,Tetsujin Japanese Sushi & Hibachi,,FSR,Geography/Ethnic
"2951 Spring Hill Ave, Mobile, AL 36607-1813","American,Fast Food","American, Fast Food","Takeout, Seating",AL 36607-1813,"Lunch, Dinner",$,,Hart's Fried Chicken,,LSR,Geography/Ethnic
"558 Dauphin St, Mobile, AL 36602-2110",Grill,Grill,Reservations,AL 36602-2110,,$,,Kazoola Eatery and Entertainment,,LSR,Food-Centric
"312 Schillinger Rd S Ste C, Mobile, AL 36608-5032","Japanese,Sushi","Japanese, Sushi",,AL 36608-5032,,,,Banzai Japanese Restaurant,,FSR,Geography/Ethnic
"2423 Schillinger Rd S Ste 101, Mobile, AL 36695-4136",Mexican,Mexican,"Seating, Table Service",AL 36695-4136,"Lunch, Dinner",$$ - $$$,,El Giro Mexican Restaurant,,FSR,Geography/Ethnic
"2350 Saint Stephens Rd, Mobile, AL 36617-3632","American,Barbecue","American, Barbecue","Takeout, Wheelchair Accessible",AL 36617-3632,"Lunch, Dinner",$$ - $$$,,Rodgers B-B-Q,,Bar/Club,Geography/Ethnic
"551 Dauphin St, Mobile, AL 36602-2109","Seafood,Sushi","Seafood, Sushi",Reservations,AL 36602-2109,,$$$$,,Chuck's Fish,,FSR,Food-Centric
"395 Azalea Rd, Mobile, AL 36609-1963","Asian,Vietnamese","Asian, Vietnamese","Seating, Wheelchair Accessible, Table Service",AL 36609-1963,"Lunch, Dinner",,,Pho 88,,FSR,Geography/Ethnic
"103 North Side Square, Huntsville, AL 35801-4822","International,Wine Bar","International, Wine Bar","Seating, Accepts Credit Cards, Table Service, Reservations",AL 35801-4822,"Lunch, Dinner",$$ - $$$,,Domaine South,,Bar/Club,Food-Centric
"1368 Navco Rd, Mobile, AL 36605-2421",Pizza,Pizza,,AL 36605-2421,"Lunch, Dinner",,,Navco Pizza,,FSR,Food-Centric
"5753 Old Shell Road, Mobile, AL 36608",American,American,,AL 36608,"Lunch, Dinner",$$ - $$$,$5 - $15,Chicken Salad Chick,,FSR,Geography/Ethnic
"4701 Airport Blvd, Mobile, AL 36608-3187","American,Fast Food","American, Fast Food",,AL 36608-3187,,$,,Al's Hot Dogs and Other Fine Foods,,LSR,Geography/Ethnic
"3113 Airport Blvd., Mobile, AL 36606",,,,AL 36606,"Breakfast, Lunch, Dinner",$,,Wendy's,,LSR,Food-Centric
"390 Schillinger Rd S, Mobile, AL 36695-8960",Mexican,Mexican,,AL 36695-8960,"Lunch, Dinner",$,,Moe's Southwest Grill,,LSR,Geography/Ethnic
"3980 Airport Blvd Suite A2, Mobile, AL 36608-2224",,,,AL 36608-2224,"Lunch, Dinner",,,MOD Pizza,,FSR,Food-Centric
"3692 Airport Blvd, Mobile, AL 36608-1616","American,Irish,Bar","American, Irish, Bar, Pub","Seating, Television, Serves Alcohol, Takeout, Wheelchair Accessible, Table Service",AL 36608-1616,"Lunch, Dinner",$$ - $$$,,Lucky's Irish Pub and Grill,,Bar/Club,Geography/Ethnic
"5701 Moffat Rd, Mobile, AL 36618-2619",Chinese,Chinese,,AL 36618-2619,"Lunch, Dinner",,,Number One China,,FSR,Geography/Ethnic
"5466 Inn Rd, Mobile, AL 36619-1953",,,,AL 36619-1953,"Lunch, Dinner",,,Arby's,,FSR,Food-Centric
"7134 Airport Blvd, Mobile, AL 36608-4556","Italian,Vegetarian Friendly",Italian,,AL 36608-4556,"Lunch, Dinner",$$ - $$$,,Roma Cafe,Vegetarian Friendly,FSR,Geography/Ethnic
"3990 Government Blvd Unit C, Mobile, AL 36693",,,,AL 36693,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"3930 Airport Blvd Ste B, Mobile, AL 36608-1692",American,American,,AL 36608-1692,,$$ - $$$,,Ruby Tuesday,,FSR,Geography/Ethnic
"3365 Moffett Rd Suite A, Mobile, AL 36607",,,,AL 36607,"Breakfast, Lunch",$$ - $$$,,Soul Heaven Cafe,,FSR,Food-Centric
"5951 Old Shell Rd, Mobile, AL 36608-3434","Mediterranean,Middle Eastern","Mediterranean, Middle Eastern","Takeout, Seating, Table Service",AL 36608-3434,"Dinner, Lunch, Late Night",$$ - $$$,,Mint,,FSR,Geography/Ethnic
"3200 Spring Hill Ave, Mobile, AL 36607-1810","American,Vegetarian Friendly",American,,AL 36607-1810,"Lunch, Dinner",$$ - $$$,,Morrison's Cafeteria,Vegetarian Friendly,FSR,Geography/Ethnic
"3075 Government Blvd B105, Mobile, AL 36606-2637",Fast Food,Fast Food,,AL 36606-2637,,,,Firehouse Subs,,LSR,Food-Centric
"3101 Airport Blvd Mobile Marriott, Mobile, AL 36606-3630","French,American,Bar","American, French, Bar, Pub",,AL 36606-3630,"Breakfast, Dinner",$$ - $$$,$6 - $26,Sage American Brasserie,,Bar/Club,Geography/Ethnic
"312 Schillinger Rd S Ste B, Mobile, AL 36608-5032",,,,AL 36608-5032,"Lunch, Dinner",$,,Wemo's Wings,,LSR,Food-Centric
"3299 Bel Air Mall, Mobile, AL 36606-3202",Sushi,Sushi,,AL 36606-3202,"Lunch, Dinner",,,Happy Sushi,,FSR,Food-Centric
"7950 Tanner Williams Rd, Mobile, AL 36608-8305",Barbecue,Barbecue,,AL 36608-8305,"Lunch, Dinner",,,D C's Barbecue,,Bar/Club,Food-Centric
"5398 Highway 90 W Ste D Ste D, Mobile, AL 36619-4206",Pizza,Pizza,,AL 36619-4206,"Lunch, Dinner",$,,Papa John's Pizza,,LSR,Food-Centric
"3702 Airport Blvd, Mobile, AL 36608-1618","Fast Food,Mediterranean,Greek,Middle Eastern","Fast Food, Mediterranean, Greek, Middle Eastern",,AL 36608-1618,,,,Mediterranean Sandwich Company,,LSR,Food-Centric
"5577 Old Pascagoula Rd, Mobile, AL 36619-4217",Chinese,Chinese,,AL 36619-4217,,,,Chinatown Restaurant,,FSR,Geography/Ethnic
"301 Government St, Mobile, AL 36602-2608",,,Reservations,AL 36602-2608,"Breakfast, Dinner",$$ - $$$,,Lafayette's Restaurant,,FSR,Food-Centric
"41 West I-65 Service Rd. N. Suite 150, Mobile, AL 36608",Deli,Deli,"Seating, Wheelchair Accessible",AL 36608,"Lunch, Breakfast",$$ - $$$,,Stevie's Kitchen,,FSR,Food-Centric
"9 Du Rhu Dr, Mobile, AL 36608-1258",Steakhouse,Steakhouse,"Seating, Wheelchair Accessible, Table Service, Reservations",AL 36608-1258,Dinner,,,Dumbwaiter on the Hill,,FSR,Food-Centric
"6750 Airport Blvd, Mobile, AL 36608-3708","Deli,Soups,Vegetarian Friendly","Deli, Soups",,AL 36608-3708,"Lunch, Dinner",$$ - $$$,,Mc Alister's Deli,Vegetarian Friendly,FSR,Food-Centric
"2667 Spring Hill Ave, Mobile, AL 36607-2915",Chinese,Chinese,,AL 36607-2915,,$$ - $$$,$31 - $40,China Chef Chinese,,FSR,Geography/Ethnic
"5440 Highway 90 Space 5, Mobile, AL 36619",American,American,,AL 36619,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Geography/Ethnic
"850 Blackburn Dr, Mobile, AL 36608-9443",American,American,,AL 36608-9443,"Breakfast, Lunch, Dinner",$,,Mother Mary's Family Restaurant,,LSR,Geography/Ethnic
"312 Schillinger Rd S., Mobile, AL 36608",,,,AL 36608,"Lunch, Dinner",,,Checkers,,FSR,Food-Centric
"280 McGregor Ave S, Mobile, AL 36608-2301",Mexican,Mexican,"Seating, Wheelchair Accessible",AL 36608-2301,"Lunch, Dinner",$,,Moe's Southwest Grill,,LSR,Geography/Ethnic
"3871 Airport Blvd Suite 103, Mobile, AL 36608",Mexican,Mexican,"Wheelchair Accessible, Seating",AL 36608,"Lunch, Dinner",$,,Chipotle Mexican Grill,,LSR,Geography/Ethnic
"3151 Dauphin St Suite A, Mobile, AL 36606-4081",American,American,,AL 36606-4081,,,,Goldfingers,,FSR,Geography/Ethnic
"2101 Airport Blvd, Mobile, AL 36606-1717",American,American,,AL 36606-1717,"Lunch, Dinner",,,Ben Jamin's Restaurant,,FSR,Geography/Ethnic
"7765 Airport Blvd Suite 130, Mobile, AL 36608",American,American,,AL 36608,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Geography/Ethnic
"6345 Airport Blvd Ste B, Mobile, AL 36608-3164",,,,AL 36608-3164,"Lunch, Dinner",$$ - $$$,$3 - $7,Boba Time,,FSR,Food-Centric
"12 N Royal St, Mobile, AL 36602","Fast Food,Eastern European,Armenian","Fast Food, Eastern European, Armenian",,AL 36602,"Breakfast, Lunch",,,Chick-fil-A,,LSR,Food-Centric
"505 Schillinger Rd S #a-110, Mobile, AL 36695",,,,AL 36695,"Breakfast, Lunch, Dinner",$,,Dunkin',,LSR,Food-Centric
"6347 Airport Blvd Ste B, Mobile, AL 36608-3174","Fast Food,Deli","Fast Food, Deli",,AL 36608-3174,"Breakfast, Lunch, Dinner",$$ - $$$,,Subway,,LSR,Food-Centric
"2370 Hillcrest Rd Unit B, Mobile, AL 36695-3841",Asian,Asian,,AL 36695-3841,,,,Yuan Mei,,FSR,Geography/Ethnic
"2818 Government Blvd, Mobile, AL 36606-2616","American,Pub","American, Pub",,AL 36606-2616,,,,Blues Tavern,,Bar/Club,Geography/Ethnic
"2213 Airport Blvd., Mobile, AL 36606",,,,AL 36606,"Lunch, Dinner",,,Checkers,,FSR,Food-Centric
"206 State St, Mobile, AL 36603-6423","Brew Pub,Pub","Brew Pub, Pub",,AL 36603-6423,,,,Iron Hand Brewing,,Bar/Club,Beverage-Centric
"1248 Hillcrest Rd, Mobile, AL 36695-3922","Bar,Mediterranean,Greek","Bar, Mediterranean, Greek, Pub","Takeout, Seating, Television, Serves Alcohol, Wheelchair Accessible, Table Service",AL 36695-3922,"Lunch, Dinner",$$ - $$$,,Ollie Mediterranean Grill,,Bar/Club,Beverage-Centric
"3445 Saint Stephens Rd, Mobile, AL 36612-1238",Pizza,Pizza,,AL 36612-1238,,,,Pizza Hut,,FSR,Food-Centric
"1269 Hillcrest Rd, Mobile, AL 36695-3923","American,Diner","American, Diner",,AL 36695-3923,,,,Waffle House,,FSR,Geography/Ethnic
"5611 Old Shell Rd Ste A, Mobile, AL 36608-3040",,,,AL 36608-3040,"Breakfast, Lunch, Dinner",,,Hungry Howie's,,FSR,Food-Centric
"5 Mobile Infirmary Cir, Mobile, AL 36607-3513",American,American,,AL 36607-3513,,,,Au Bon Pain,,FSR,Geography/Ethnic
"6167 Airport Blvd, Mobile, AL 36608-3159",Healthy,Healthy,,AL 36608-3159,,,,Kraze Frozen Treats,,FSR,Food-Centric
"9948 Airport Boulevard Shop #10, Mobile, AL 36608",,,,AL 36608,"Breakfast, Lunch, Dinner",,,Subway,,FSR,Food-Centric
"100 N Florida St # D, Mobile, AL 36607-3010",,,Gift Cards Available,AL 36607-3010,"Lunch, Dinner",,,Marco's Pizza,,FSR,Food-Centric
"5701 Old Shell Rd #300, Mobile, AL 36608-3418","American,Seafood,Fast Food","American, Seafood, Fast Food, Deli, Street Food",,AL 36608-3418,"Lunch, Dinner",$,,American Deli,,LSR,Geography/Ethnic
"225 Dauphin St, Mobile, AL 36602-2717",American,American,,AL 36602-2717,,,,Game Over Retro Pub,,FSR,Geography/Ethnic
"655 Schillinger Road S, Mobile, AL 36695",American,American,"Takeout, Seating, Wheelchair Accessible, Table Service",AL 36695,"Breakfast, Lunch, Dinner, Late Night",$,,Steak 'n Shake,,LSR,Geography/Ethnic
"111 Canal St, Mobile, AL 36603-2203",,,,AL 36603-2203,,,,Bobs famous hotdogs,,FSR,Food-Centric
"260 Azalea Rd, Mobile, AL 36609-1902",,,,AL 36609-1902,"Lunch, Dinner",,,Bojangles Bar and Eatery,,FSR,Food-Centric
"4701 Airport Blvd Ste 230, Mobile, AL 36608-3187",,,,AL 36608-3187,"Lunch, Dinner",,,Three Flavors,,FSR,Food-Centric
"2 Springdale Blvd, Mobile, AL 36606",,,,AL 36606,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"3200 Springdale Plz, Mobile, AL 36606-3812",South American,South American,,AL 36606-3812,,$$ - $$$,,Piccadilly Cafeteria,,FSR,Geography/Ethnic
"15 N Conception St, Mobile, AL 36602-2901","American,Bar,Seafood","American, Bar, Seafood, Grill, Pub, Wine Bar",,AL 36602-2901,"Breakfast, Dinner, Drinks",$$ - $$$,$8 - $29,Eugene's Monkey Bar & Grill,,Bar/Club,Geography/Ethnic
"2212 Halls Mill Rd, Mobile, AL 36606-4602",Seafood,Seafood,,AL 36606-4602,,,,Phish Feathers,,FSR,Food-Centric
"6321 Cottage Hill Rd, Mobile, AL 36609",American,American,,AL 36609,"Breakfast, Lunch, Dinner",,,Hardee's,,FSR,Geography/Ethnic
"3250 Airport Blvd Ste F5, Mobile, AL 36606-3800","American,Steakhouse,Pub","Steakhouse, American, Pub","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Highchairs Available, Table Service",AL 36606-3800,"Lunch, Dinner",$$ - $$$,,Logan's Roadhouse,,Bar/Club,Geography/Ethnic
"4696 Moffett Rd, Mobile, AL 36618",American,American,,AL 36618,"Breakfast, Lunch, Dinner",,,Krystal,,FSR,Geography/Ethnic
"5441 Highway 90 W Ste 12, Mobile, AL 36619-1976",,,,AL 36619-1976,,,,Sub King,,FSR,Food-Centric
"4126 Moffett Rd Suite B, Mobile, AL 36618-1637",,,,AL 36618-1637,,,,Ranch,,FSR,Food-Centric
"3674 Airport Blvd, Mobile, AL 36608-1616","Indian,Vegetarian Friendly,Vegan Options",Indian,,AL 36608-1616,"Dinner, Lunch",$$ - $$$,,Halal Cuisine of India,"Vegetarian Friendly, Vegan Options",FSR,Geography/Ethnic
"4110 Government Blvd, Mobile, AL 36693",American,American,,AL 36693,"Breakfast, Lunch, Dinner",,,Krystal,,FSR,Geography/Ethnic
"425 Schillinger Road South, Mobile, AL 36608",,,,AL 36608,"Breakfast, Lunch, Dinner",$,,Wendy's,,LSR,Food-Centric
"2520 Government Boulevard Mobile, AL, Mobile, AL 36606","American,Seafood","American, Seafood",,AL 36606,,,,Captain D's,,FSR,Geography/Ethnic
"1115 Government St, Mobile, AL 36604-2439","Mexican,Fast Food","Mexican, Fast Food",,AL 36604-2439,"Lunch, Dinner",$,,Taco Bell,,LSR,Geography/Ethnic
"5033 Cottage Hill Rd Cottage Village, Mobile, AL 36609-4204",Asian,Asian,,AL 36609-4204,,,,Quickly Asian Fusion Cafe,,FSR,Geography/Ethnic
"3674 Airport Blvd, Mobile, AL 36608-1616",Indian,Indian,,AL 36608-1616,,,,Delhi Palace,,FSR,Geography/Ethnic
"5380 Highway 90 Dr West, Mobile, AL 36619",,,,AL 36619,"Breakfast, Lunch, Dinner",$,,Burger King,,LSR,Food-Centric
"1500 H Government Street Ste H, Mobile, AL 36604-1104",,,,AL 36604-1104,"Lunch, Dinner",,,Papa John's Pizza,,FSR,Food-Centric
"360 Dauphin St, Mobile, AL 36602-2420",American,American,,AL 36602-2420,,,,Live at 360 Jazz Cafe,,FSR,Geography/Ethnic
"3843 Airport Blvd, Mobile, AL 36608",,,,AL 36608,"Lunch, Dinner",,,Taco Bell,,FSR,Food-Centric
"3461 Spring Hill Ave, Mobile, AL 36608-1563",Asian,Asian,,AL 36608-1563,"Lunch, Dinner",,,Hibachi Express,,FSR,Geography/Ethnic
"2423 Schillinger Road South Suite 25, Mobile, AL 36695","American,Fast Food,Deli","American, Fast Food, Deli",,AL 36695,"Breakfast, Lunch, Dinner",,,Subway,,LSR,Geography/Ethnic
"106 Cody Rd S, Mobile, AL 36608-4564",,,,AL 36608-4564,,,,Western Star BBQ,,FSR,Food-Centric
"1400 Hilcrest Rd, Mobile, AL 36695",,,,AL 36695,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"2496 Schillinger Rd, Mobile, AL 36695",,,,AL 36695,"Breakfast, Lunch, Dinner",,,Whataburger,,FSR,Food-Centric
"3004 Airport Blvd, Mobile, AL 36606",,,,AL 36606,"Breakfast, Lunch, Dinner",,,Burger King,,FSR,Food-Centric
"8400 Airport Blvd, Mobile, AL 36608-9603",,,,AL 36608-9603,"Breakfast, Lunch, Dinner",$,,Quiznos,,LSR,Food-Centric
"4663 Airport Blvd, Mobile, AL 36608-3125",American,American,,AL 36608-3125,,,,Krystal,,FSR,Geography/Ethnic
"5109 Moffat Rd, Mobile, AL 36618",American,American,,AL 36618,"Lunch, Dinner",,,KFC,,FSR,Geography/Ethnic
"1717 Dauphin St, Mobile, AL 36604-1307",,,,AL 36604-1307,Lunch,,,Via Dauphin Street Cafe,,FSR,Food-Centric
"5415A Highway 90 W, Mobile, AL 36619-4219",Fast Food,Fast Food,,AL 36619-4219,,,,Checker's,,LSR,Food-Centric
"3091 Dauphin St, Mobile, AL 36606",American,American,,AL 36606,"Breakfast, Lunch, Dinner",$,,Krystal,,LSR,Geography/Ethnic
"3944 Government Blvd, Mobile, AL 36693",,,,AL 36693,"Breakfast, Lunch, Dinner",,,Sonic Drive-In,,FSR,Food-Centric
"6750 Airport Blvd Suite 1, Mobile, AL 36608","Italian,Pizza","Pizza, Italian",,AL 36608,"Lunch, Dinner",$,,Cicis,,LSR,Geography/Ethnic
"5546 Old Shell Rd Ste A Ste A, Mobile, AL 36608",,,,AL 36608,"Lunch, Dinner",,,Papa John's Pizza,,FSR,Food-Centric
"5019 Cottage Hill Rd, Mobile, AL 36693",,,,AL 36693,"Breakfast, Lunch, Dinner",,,McDonald's,,FSR,Food-Centric
"3811 Airport Blvd, Mobile, AL 36608-1619",Chinese,Chinese,,AL 36608-1619,,$,,Panda Express,,LSR,Geography/Ethnic
"3213 Springhill Ave, Mobile, AL 36607",,,,AL 36607,"Lunch, Dinner",,,Dairy Queen Grill & Chill,,FSR,Food-Centric
"7721 Airport Blvd Suite E100, Mobile, AL 36608-5052",Barbecue,Barbecue,,AL 36608-5052,"Lunch, Dinner",$$ - $$$,,Dickey's Barbecue Pit,,Bar/Club,Food-Centric
"7501 Airport Blvd, Mobile, AL 36608-5001",,,,AL 36608-5001,"Breakfast, Lunch",,,Ransom Cafe,,FSR,Food-Centric
"5167 Rangeline Service Rd N Suite A, Mobile, AL 36619-9572","American,Fast Food","American, Fast Food",,AL 36619-9572,"Lunch, Dinner",,,Jimmy John's,,LSR,Geography/Ethnic
"725 Schillinger Rd S, Mobile, AL 36695-8909","American,Bar","American, Bar","Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Table Service",AL 36695-8909,"Lunch, Dinner",$$ - $$$,,O'Charley's,,Bar/Club,Geography/Ethnic
"2300 St. Stephens, Mobile, AL 36617",,,,AL 36617,"Lunch, Dinner",,,Checkers,,FSR,Food-Centric
"465 S Broad St, Mobile, AL 36603-1121",,,,AL 36603-1121,"Lunch, Dinner",,,Church's Chicken,,FSR,Food-Centric
"1261 Schillinger Rd N, Mobile, AL 36608-5219",Pizza,Pizza,,AL 36608-5219,,,,Pizza Inn,,FSR,Food-Centric
"9948 Airport Blvd Ste 4, Mobile, AL 36608-9518",Pizza,Pizza,,AL 36608-9518,,,,Little Caesars,,FSR,Food-Centric
"3270 Dauphin St., Mobile, AL 36606",,,,AL 36606,"Breakfast, Lunch, Dinner",,,Wendy's,,FSR,Food-Centric
"6301 Cottage Hill Road, Mobile, AL 36609",Mexican,Mexican,,AL 36609,"Lunch, Dinner",,,Taco Bell,,FSR,Geography/Ethnic
"3346 Cottage Hill Rd, Mobile, AL 36606-3009",Italian,Italian,,AL 36606-3009,,,,TA Zio's Italian Diner,,FSR,Geography/Ethnic
